,datum_dolaska,datum_odjave,kanal_prodaje_id,tip_sobe_id,cijena_nocenja,rezervacija_id,gost_id,zemlja_gosta_mapped,total_occupancy
0,2015-11-01,2015-11-03,2,1,100.0,1353270,1039201,0,193.0
1,2015-07-02,2015-07-05,2,1,58.274877886843264,1353276,1037233,0,58.0
2,2015-10-03,2015-10-05,2,1,103.2380572654892,1353280,1055376,0,235.0
3,2015-07-03,2015-07-05,2,1,133.5795673661274,1353281,1045475,0,67.0
4,2015-12-03,2015-12-05,2,1,135.26713099743156,1353282,1018997,0,223.0
5,2015-12-03,2015-12-05,2,1,77.40594910710092,1353283,1047922,0,223.0
6,2015-07-03,2015-07-05,2,1,58.99009770478633,1353285,1016979,0,67.0
7,2015-10-03,2015-10-05,2,1,96.63853260461502,1353287,1078518,0,235.0
8,2015-07-03,2015-07-05,2,1,77.36598609452976,1353288,1105043,1,67.0
9,2015-05-03,2015-05-05,2,1,102.92672740907268,1353292,1003812,0,65.0
10,2015-07-03,2015-07-05,2,1,81.9946552632025,1353293,1078045,0,67.0
11,2015-07-03,2015-07-10,2,1,47.87795555437913,1353295,1017041,0,67.0
12,2015-05-04,2015-05-08,2,1,67.27712831005923,1353299,1101941,0,82.0
13,2015-07-07,2015-07-09,2,1,60.79356008208016,1353314,1096110,0,12.0
14,2015-07-07,2015-07-17,2,1,56.133338969926,1353323,1015613,0,12.0
15,2015-05-08,2015-05-10,2,1,53.49586623156578,1353327,1096333,3,181.0
16,2015-07-08,2015-07-13,2,1,64.34047651963644,1353329,1015787,0,41.0
17,2015-05-08,2015-05-13,2,1,83.57038498717681,1353331,1023097,0,181.0
18,2015-07-09,2015-07-14,2,1,57.33971513794255,1353337,1079434,0,38.0
19,2015-07-10,2015-07-15,2,1,102.84964004067749,1353342,1072195,0,39.0
20,2015-07-11,2015-07-12,2,1,40.28648632205508,1353345,1026324,0,44.0
21,2015-05-11,2015-05-12,2,1,74.76030300658748,1353346,1019969,0,165.0
22,2015-07-11,2015-07-12,2,1,50.64140241752587,1353347,1019262,0,44.0
23,2015-07-11,2015-07-12,2,1,88.90422607213782,1353348,1096615,0,44.0
24,2015-10-11,2015-10-14,2,1,107.3933668516494,1353350,1089648,0,322.0
25,2015-07-11,2015-07-14,2,1,68.00607992330846,1353351,1043555,0,44.0
26,2015-07-11,2015-07-14,2,1,61.14076440383224,1353354,1070088,0,44.0
27,2015-07-11,2015-07-14,2,1,127.82151948425818,1353356,1038052,0,44.0
28,2015-07-11,2015-07-14,2,1,54.70500035780496,1353357,1015621,0,44.0
29,2015-05-11,2015-05-14,2,1,86.51519801291624,1353358,1086242,0,165.0
30,2015-07-11,2015-07-14,2,1,76.64583556589139,1353359,1098313,0,44.0
31,2015-07-11,2015-07-14,2,1,57.58805674475267,1353360,1065557,0,44.0
32,2015-05-11,2015-05-14,2,1,92.24248088761392,1353363,1024958,0,165.0
33,2015-07-11,2015-07-14,2,1,70.82378791632861,1353365,1097292,0,44.0
34,2015-10-11,2015-10-14,2,1,140.87124719341486,1353366,1061091,0,322.0
35,2015-07-11,2015-07-14,2,1,88.11977077083782,1353369,1017348,0,44.0
36,2015-05-11,2015-05-14,2,1,48.36429657921172,1353371,1043108,0,165.0
37,2015-10-11,2015-10-14,2,1,93.05637191099902,1353372,1065838,0,322.0
38,2015-07-11,2015-07-14,2,1,139.64426147496818,1353373,1048468,0,44.0
39,2015-05-11,2015-05-14,2,1,86.2889367511453,1353374,1064449,0,165.0
40,2015-07-11,2015-07-14,2,1,58.281599971287136,1353375,1104525,0,44.0
41,2015-05-11,2015-05-14,2,1,83.6606827500813,1353376,1035494,0,165.0
42,2015-10-11,2015-10-14,2,1,130.8415284385906,1353377,1086514,1,322.0
43,2015-10-11,2015-10-14,2,1,87.03732373728108,1353380,1013643,0,322.0
44,2015-11-11,2015-11-14,2,1,199.1819382175008,1353382,1018100,0,208.0
45,2015-07-11,2015-07-14,2,1,92.6173864090966,1353383,1095166,0,44.0
46,2015-11-13,2015-11-14,2,1,95.01391422215328,1353388,1097224,0,199.0
47,2015-07-15,2015-07-22,0,5,100.0,1353409,1035508,0,31.0
48,2015-10-18,2015-10-20,2,1,67.28010730994608,1353419,1094652,0,301.0
49,2015-07-18,2015-07-20,2,1,139.00333676096946,1353420,1098262,0,85.0
50,2015-05-18,2015-05-20,2,1,99.91914305297767,1353421,1075437,0,167.0
51,2015-07-18,2015-07-20,2,1,74.84207516059458,1353422,1057423,0,85.0
52,2015-07-18,2015-07-20,2,1,67.61888765644522,1353423,1035908,0,85.0
53,2015-10-18,2015-10-20,2,1,91.98646466458368,1353424,1074664,0,301.0
54,2015-07-18,2015-07-20,2,1,67.29042302008969,1353425,1102664,0,85.0
55,2015-07-18,2015-07-20,2,1,62.57664643749384,1353426,1000030,0,85.0
56,2015-07-18,2015-07-20,2,1,55.28446257707381,1353427,1000412,0,85.0
57,2015-07-18,2015-07-20,2,1,59.65928908704449,1353428,1031596,0,85.0
58,2015-07-18,2015-07-20,2,1,44.294555041996375,1353429,1020723,0,85.0
59,2015-11-18,2015-11-20,2,1,89.98140010443962,1353430,1017422,6,294.0
60,2015-07-18,2015-07-20,2,1,48.43651599554673,1353431,1079657,0,85.0
61,2015-07-18,2015-07-20,2,1,105.4772528808456,1353432,1095549,0,85.0
62,2015-07-18,2015-07-20,2,1,60.22939081243236,1353433,1087587,0,85.0
63,2015-11-18,2015-11-20,2,1,111.85095843925816,1353434,1106269,0,294.0
64,2015-11-18,2015-11-20,2,1,103.56529436470996,1353435,1028573,0,294.0
65,2015-12-18,2015-12-20,2,1,100.0,1353436,1096210,0,303.0
66,2015-10-18,2015-10-20,2,1,117.77809104637647,1353437,1074024,0,301.0
67,2015-07-18,2015-07-20,2,1,46.29351379409453,1353438,1084560,0,85.0
68,2015-07-18,2015-07-20,2,1,44.14785019612945,1353439,1080834,0,85.0
69,2015-05-18,2015-05-21,2,1,81.40079072925977,1353441,1026357,0,167.0
70,2015-10-18,2015-10-21,2,1,111.24409409916744,1353443,1095990,0,301.0
71,2015-07-18,2015-07-21,2,1,59.63953663747107,1353449,1078022,0,85.0
72,2015-07-18,2015-07-21,2,1,62.759712585145095,1353450,1022763,0,85.0
73,2015-07-18,2015-07-21,2,1,61.027373767153854,1353453,1059156,0,85.0
74,2015-07-18,2015-07-21,2,1,135.9141118275576,1353460,1036962,0,85.0
75,2015-07-18,2015-07-22,2,1,46.21362032495169,1353464,1036983,0,85.0
76,2015-07-18,2015-07-22,2,1,41.83979985652577,1353465,1024257,0,85.0
77,2015-05-18,2015-05-22,2,1,100.0,1353466,1047644,0,167.0
78,2015-12-18,2015-12-22,2,1,103.71418102395292,1353473,1056645,0,303.0
79,2015-05-18,2015-05-22,2,1,64.2534460311166,1353476,1022847,0,167.0
80,2015-05-18,2015-05-22,2,1,58.44464334402256,1353477,1037494,0,167.0
81,2015-10-18,2015-10-22,2,1,60.56083167659011,1353480,1098709,0,301.0
82,2015-07-18,2015-07-22,2,1,54.6546390200557,1353481,1103673,0,85.0
83,2015-05-18,2015-05-22,2,1,94.51764221969071,1353484,1012231,0,167.0
84,2015-07-18,2015-07-22,2,1,56.20823036192802,1353487,1033807,0,85.0
85,2015-07-18,2015-07-22,2,1,59.84062146656253,1353489,1028521,0,85.0
86,2015-05-18,2015-05-22,2,1,100.0,1353490,1002581,0,167.0
87,2015-07-18,2015-07-22,2,1,59.98878728735068,1353492,1054689,0,85.0
88,2015-07-18,2015-07-22,2,1,50.56673322562988,1353493,1026168,0,85.0
89,2015-07-18,2015-07-23,2,1,45.83352607770575,1353495,1000275,0,85.0
90,2015-07-20,2015-07-22,2,1,132.81162359906153,1353503,1009703,0,56.0
91,2015-07-20,2015-07-24,2,1,72.87098482945247,1353504,1055962,0,56.0
92,2015-07-22,2015-07-24,2,1,61.60838291969847,1353507,1012889,0,42.0
93,2015-10-22,2015-10-24,2,1,75.74622645408124,1353508,1006279,0,339.0
94,2015-10-22,2015-10-24,2,1,107.04098126411004,1353509,1036011,0,339.0
95,2015-05-22,2015-05-24,2,1,71.9534551154058,1353512,1067726,0,112.0
96,2015-07-22,2015-07-24,2,1,41.9089165621515,1353516,1054684,0,42.0
97,2015-07-22,2015-07-24,2,1,58.52814094166042,1353519,1033000,1,42.0
98,2015-07-22,2015-07-24,2,1,41.40796928647862,1353520,1084211,0,42.0
99,2015-05-22,2015-05-24,2,1,100.0,1353521,1017576,0,112.0
100,2015-11-22,2015-11-24,2,1,108.80710650811425,1353522,1011814,42,259.0
101,2015-07-22,2015-07-24,2,1,49.58849809900432,1353523,1055657,0,42.0
102,2015-11-22,2015-11-24,2,1,91.40142511548088,1353524,1007928,0,259.0
103,2015-10-22,2015-10-24,2,1,83.8562138974519,1353527,1041648,0,339.0
104,2015-07-22,2015-07-24,2,1,43.72107964666768,1353529,1029762,0,42.0
105,2015-05-22,2015-05-24,2,1,68.27172793134707,1353533,1017449,0,112.0
106,2015-11-22,2015-11-24,2,1,84.4723461721813,1353535,1043119,0,259.0
107,2015-07-22,2015-07-24,2,1,58.40801972438858,1353536,1016949,0,42.0
108,2015-11-22,2015-11-24,2,1,92.11513561413952,1353537,1071038,0,259.0
109,2015-07-22,2015-07-24,2,1,45.12654001073135,1353538,1057734,0,42.0
110,2015-05-22,2015-05-24,2,1,74.00215717052548,1353540,1002687,0,112.0
111,2015-07-22,2015-07-24,2,1,51.06473303942472,1353549,1018508,0,42.0
112,2015-07-22,2015-07-24,2,1,100.0,1353550,1017137,0,42.0
113,2015-11-22,2015-11-24,2,1,86.30276649471202,1353551,1098909,0,259.0
114,2015-10-22,2015-10-24,2,1,76.67683150542966,1353553,1093701,0,339.0
115,2015-07-22,2015-07-24,2,1,139.33862796676834,1353555,1026211,0,42.0
116,2015-07-23,2015-07-24,2,1,74.79162019221305,1353558,1004951,0,59.0
117,2015-11-23,2015-11-24,2,1,118.88640491858855,1353559,1076870,0,236.0
118,2015-07-23,2015-07-24,2,1,67.4219598188265,1353560,1016922,0,59.0
119,2015-07-23,2015-07-24,2,1,60.590290601477406,1353561,1053636,0,59.0
120,2015-10-23,2015-10-24,2,1,83.11519292275526,1353562,1060691,0,286.0
121,2015-10-23,2015-10-24,2,1,99.65239645038702,1353563,1038820,0,286.0
122,2015-12-23,2015-12-24,2,1,147.17099692761133,1353564,1088390,0,246.0
123,2015-07-23,2015-07-24,2,1,79.16301363682328,1353565,1003831,0,59.0
124,2015-12-23,2015-12-24,2,1,143.99756932027,1353566,1003880,0,246.0
125,2015-11-23,2015-11-24,2,1,97.84158310322655,1353567,1060514,0,236.0
