datum_dolaska,total_occupancy
2015-11-01,193.0
2015-07-02,58.0
2015-10-03,235.0
2015-07-03,67.0
2015-12-03,223.0
2015-05-03,65.0
2015-05-04,82.0
2015-07-07,12.0
2015-05-08,181.0
2015-07-08,41.0
2015-07-09,38.0
2015-07-10,39.0
2015-07-11,44.0
2015-05-11,165.0
2015-10-11,322.0
2015-11-11,208.0
2015-11-13,199.0
2015-07-15,31.0
2015-10-18,301.0
2015-07-18,85.0
2015-05-18,167.0
2015-11-18,294.0
2015-12-18,303.0
2015-07-20,56.0
2015-07-22,42.0
2015-10-22,339.0
2015-05-22,112.0
2015-11-22,259.0
2015-07-23,59.0
2015-11-23,236.0
2015-10-23,286.0
2015-12-23,246.0
2015-05-23,105.0
2015-07-24,65.0
2015-10-24,238.0
2015-11-24,247.0
2015-07-25,73.0
2015-10-25,288.0
2015-11-25,279.0
2015-05-25,124.0
2015-10-26,288.0
2015-07-26,73.0
2015-07-27,58.0
2015-05-27,132.0
2015-10-27,272.0
2015-12-27,469.0
2015-05-28,152.0
2015-07-28,71.0
2015-05-29,112.0
2015-10-29,256.0
2015-07-29,70.0
2015-11-29,220.0
2015-12-29,630.0
2015-11-30,241.0
2015-07-31,34.0
2015-05-31,95.0
2015-08-01,39.0
2015-12-01,212.0
2015-05-01,28.0
2015-10-01,253.0
2015-08-02,34.0
2015-11-02,218.0
2015-08-03,61.0
2015-11-03,200.0
2015-01-03,27.0
2015-08-04,69.0
2015-11-05,215.0
2015-05-05,106.0
2015-08-05,122.0
2015-10-05,262.0
2015-08-06,144.0
2015-10-06,261.0
2015-05-06,122.0
2015-12-06,621.0
2015-11-06,259.0
2015-05-07,158.0
2015-08-07,177.0
2015-10-07,287.0
2015-11-07,271.0
2015-12-07,609.0
2015-08-08,184.0
2015-10-08,295.0
2015-01-08,26.0
2015-12-08,532.0
2015-11-08,245.0
2015-08-09,155.0
2015-12-09,335.0
2015-05-09,160.0
2015-10-09,361.0
2015-11-09,253.0
2015-12-10,334.0
2015-08-10,182.0
2015-10-10,332.0
2015-05-10,152.0
2015-11-10,203.0
2015-01-10,20.0
2015-08-11,207.0
2015-12-11,359.0
2015-11-12,225.0
2015-05-12,177.0
2015-08-12,244.0
2015-10-12,316.0
2015-01-12,20.0
2015-12-12,334.0
2015-08-13,175.0
2015-12-13,241.0
2015-10-13,257.0
2015-05-13,145.0
2015-08-14,225.0
2015-11-14,197.0
2015-10-14,219.0
2015-05-14,139.0
2015-12-14,183.0
2015-08-15,213.0
2015-05-15,133.0
2015-11-15,181.0
2015-12-15,182.0
2015-10-15,235.0
2015-08-16,215.0
2015-11-16,192.0
2015-10-16,306.0
2015-05-16,157.0
2015-08-17,177.0
2015-05-17,160.0
2015-01-17,22.0
2015-11-17,205.0
2015-10-17,280.0
2015-12-17,256.0
2015-08-18,213.0
2015-01-18,36.0
2015-08-19,216.0
2015-05-19,167.0
2015-11-19,296.0
2015-10-19,301.0
2015-08-20,175.0
2015-05-20,111.0
2015-11-20,325.0
2015-10-20,304.0
2015-08-21,162.0
2015-12-21,228.0
2015-10-21,319.0
2015-11-21,321.0
2015-05-21,111.0
2015-01-21,28.0
2015-01-22,23.0
2015-08-22,143.0
2015-12-22,225.0
2015-08-23,139.0
2015-08-24,164.0
2015-05-24,101.0
2015-01-24,33.0
2015-12-24,254.0
2015-08-25,189.0
2015-12-25,290.0
2015-01-25,35.0
2015-08-26,202.0
2015-01-26,32.0
2015-05-26,126.0
2015-12-26,396.0
2015-11-26,298.0
2015-08-27,162.0
2015-08-28,129.0
2015-10-28,350.0
2015-12-28,536.0
2015-01-29,18.0
2015-08-29,141.0
2015-05-30,94.0
2015-08-30,105.0
2015-10-30,231.0
2015-08-31,116.0
2015-01-31,9.0
2015-10-31,249.0
2015-09-01,180.0
2015-09-02,205.0
2015-09-03,283.0
2015-09-04,427.0
2015-09-05,490.0
2015-09-06,507.0
2015-09-07,473.0
2015-09-08,481.0
2015-09-09,495.0
2015-09-10,418.0
2015-09-11,505.0
2015-09-12,427.0
2015-09-13,398.0
2015-09-14,372.0
2015-09-15,413.0
2015-09-16,469.0
2015-09-17,510.0
2015-09-18,574.0
2015-09-19,512.0
2015-09-20,506.0
2015-09-21,468.0
2015-09-22,495.0
2015-09-23,537.0
2015-09-24,487.0
