,index,hotel_id,datum_dolaska,datum_odjave,kanal_prodaje_id,tip_sobe_id,cijena_nocenja,rezervacija_id,gost_id,zemlja_gosta_mapped,broj_gostiju
28927,40047,1,2015-11-01,2015-11-03,2,1,100.0,1353270,1039201,0,1.0
28928,40053,1,2015-07-02,2015-07-05,2,1,58.274877886843264,1353276,1037233,0,1.0
28929,40057,1,2015-10-03,2015-10-05,2,1,103.2380572654892,1353280,1055376,0,2.0
28930,40058,1,2015-07-03,2015-07-05,2,1,133.5795673661274,1353281,1045475,0,2.0
28931,40059,1,2015-12-03,2015-12-05,2,1,135.26713099743156,1353282,1018997,0,2.0
28932,40060,1,2015-12-03,2015-12-05,2,1,77.40594910710092,1353283,1047922,0,1.0
28933,40062,1,2015-07-03,2015-07-05,2,1,58.99009770478633,1353285,1016979,0,1.0
28934,40064,1,2015-10-03,2015-10-05,2,1,96.63853260461502,1353287,1078518,0,2.0
28935,40065,1,2015-07-03,2015-07-05,2,1,77.36598609452976,1353288,1105043,1,2.0
28936,40069,1,2015-05-03,2015-05-05,2,1,102.92672740907267,1353292,1003812,0,2.0
28937,40070,1,2015-07-03,2015-07-05,2,1,81.9946552632025,1353293,1078045,0,2.0
28938,40072,1,2015-07-03,2015-07-10,2,1,47.87795555437913,1353295,1017041,0,2.0
28939,40076,1,2015-05-04,2015-05-08,2,1,67.27712831005923,1353299,1101941,0,1.0
28940,40091,1,2015-07-07,2015-07-09,2,1,60.793560082080155,1353314,1096110,0,3.0
28941,40100,1,2015-07-07,2015-07-17,2,1,56.133338969925994,1353323,1015613,0,2.0
28942,40104,1,2015-05-08,2015-05-10,2,1,53.49586623156578,1353327,1096333,3,2.0
28943,40106,1,2015-07-08,2015-07-13,2,1,64.34047651963644,1353329,1015787,0,2.0
28944,40108,1,2015-05-08,2015-05-13,2,1,83.57038498717681,1353331,1023097,0,2.0
28945,40114,1,2015-07-09,2015-07-14,2,1,57.33971513794255,1353337,1079434,0,2.0
28946,40119,1,2015-07-10,2015-07-15,2,1,102.84964004067747,1353342,1072195,0,4.0
28947,40122,1,2015-07-11,2015-07-12,2,1,40.28648632205508,1353345,1026324,0,1.0
28948,40123,1,2015-05-11,2015-05-12,2,1,74.76030300658748,1353346,1019969,0,2.0
28949,40124,1,2015-07-11,2015-07-12,2,1,50.64140241752587,1353347,1019262,0,1.0
28950,40125,1,2015-07-11,2015-07-12,2,1,88.90422607213782,1353348,1096615,0,3.0
28951,40127,1,2015-10-11,2015-10-14,2,1,107.39336685164939,1353350,1089648,0,2.0
28952,40128,1,2015-07-11,2015-07-14,2,1,68.00607992330846,1353351,1043555,0,2.0
28953,40131,1,2015-07-11,2015-07-14,2,1,61.14076440383224,1353354,1070088,0,2.0
28954,40133,1,2015-07-11,2015-07-14,2,1,127.82151948425818,1353356,1038052,0,3.0
28955,40134,1,2015-07-11,2015-07-14,2,1,54.705000357804956,1353357,1015621,0,2.0
28956,40135,1,2015-05-11,2015-05-14,2,1,86.51519801291624,1353358,1086242,0,2.0
28957,40136,1,2015-07-11,2015-07-14,2,1,76.64583556589139,1353359,1098313,0,2.0
28958,40137,1,2015-07-11,2015-07-14,2,1,57.58805674475267,1353360,1065557,0,1.0
28959,40140,1,2015-05-11,2015-05-14,2,1,92.24248088761391,1353363,1024958,0,2.0
28960,40142,1,2015-07-11,2015-07-14,2,1,70.82378791632861,1353365,1097292,0,1.0
28961,40143,1,2015-10-11,2015-10-14,2,1,140.87124719341486,1353366,1061091,0,2.0
28962,40146,1,2015-07-11,2015-07-14,2,1,88.11977077083782,1353369,1017348,0,2.0
28963,40148,1,2015-05-11,2015-05-14,2,1,48.36429657921172,1353371,1043108,0,2.0
28964,40149,1,2015-10-11,2015-10-14,2,1,93.05637191099902,1353372,1065838,0,1.0
28965,40150,1,2015-07-11,2015-07-14,2,1,139.64426147496818,1353373,1048468,0,2.0
28966,40151,1,2015-05-11,2015-05-14,2,1,86.2889367511453,1353374,1064449,0,2.0
28967,40152,1,2015-07-11,2015-07-14,2,1,58.281599971287136,1353375,1104525,0,2.0
28968,40153,1,2015-05-11,2015-05-14,2,1,83.6606827500813,1353376,1035494,0,2.0
28969,40154,1,2015-10-11,2015-10-14,2,1,130.84152843859061,1353377,1086514,1,2.0
28970,40157,1,2015-10-11,2015-10-14,2,1,87.03732373728108,1353380,1013643,0,2.0
28971,40159,1,2015-11-11,2015-11-14,2,1,199.18193821750077,1353382,1018100,0,3.0
28972,40160,1,2015-07-11,2015-07-14,2,1,92.61738640909661,1353383,1095166,0,2.0
28973,40165,1,2015-11-13,2015-11-14,2,1,95.01391422215329,1353388,1097224,0,2.0
