datum_dolaska,total_occupancy
2015-05-04,82.0
2015-05-11,165.0
2015-05-18,167.0
2015-07-20,56.0
2015-11-23,236.0
2015-05-25,124.0
2015-10-26,288.0
2015-07-27,58.0
2015-11-30,241.0
2015-11-02,218.0
2015-08-03,61.0
2015-10-05,262.0
2015-12-07,609.0
2015-11-09,253.0
2015-08-10,182.0
2015-10-12,316.0
2015-01-12,20.0
2015-12-14,183.0
2015-11-16,192.0
2015-08-17,177.0
2015-10-19,301.0
2015-12-21,228.0
2015-08-24,164.0
2015-01-26,32.0
2015-12-28,536.0
2015-08-31,116.0
2015-09-07,473.0
2015-09-14,372.0
2015-09-21,468.0
2015-09-28,321.0
2015-01-19,34.0
2016-01-04,512.0
2016-01-11,365.0
2016-01-18,367.0
2016-01-25,424.0
2016-02-01,321.0
2016-02-08,430.0
2016-02-15,366.0
2016-02-22,326.0
2016-02-29,289.0
2016-07-04,508.0
2016-12-05,1025.0
2016-06-06,467.0
2016-03-07,143.0
2016-07-11,498.0
2016-12-12,885.0
2016-03-14,172.0
2016-07-18,510.0
2016-12-19,930.0
2016-06-20,554.0
2016-03-21,180.0
2016-11-21,633.0
2016-07-25,514.0
2016-03-28,193.0
2016-08-29,460.0
2016-04-04,156.0
2016-08-08,518.0
2016-04-11,197.0
2016-04-18,207.0
2016-04-25,188.0
2016-11-07,646.0
2016-10-10,661.0
2016-06-13,455.0
2016-11-14,630.0
2016-10-17,586.0
2016-12-26,1153.0
2016-06-27,433.0
2016-10-31,611.0
2016-05-02,274.0
2016-05-09,320.0
2016-11-28,586.0
2016-08-01,458.0
2016-09-12,593.0
2016-09-19,549.0
2016-09-26,535.0
2016-10-03,575.0
2017-07-24,584.0
2017-01-02,1079.0
2017-05-22,214.0
2017-10-16,293.0
2017-12-18,525.0
2017-03-20,214.0
2017-02-13,514.0
2017-01-16,455.0
2017-06-05,479.0
2017-11-20,276.0
2017-01-09,487.0
2017-07-10,536.0
2017-07-31,482.0
2015-01-05,28.0
2017-01-30,429.0
2017-02-20,496.0
2017-07-03,534.0
2017-12-11,498.0
2017-10-09,408.0
2016-10-24,644.0
2017-06-26,521.0
2017-12-04,475.0
2016-08-15,442.0
2017-03-13,159.0
2016-08-22,476.0
2017-06-12,517.0
2017-10-30,322.0
2017-05-29,272.0
2017-12-25,568.0
2016-05-16,349.0
2017-01-23,567.0
2016-05-23,401.0
2016-05-30,297.0
2017-08-21,439.0
2017-02-06,314.0
2016-09-05,590.0
2017-06-19,488.0
2017-07-17,555.0
2017-08-14,467.0
2017-02-27,478.0
2017-03-06,195.0
2017-11-06,260.0
2017-03-27,156.0
2017-08-07,460.0
2017-11-13,266.0
2017-11-27,213.0
2017-08-28,444.0
2017-04-03,216.0
2017-04-10,208.0
2017-04-17,223.0
2017-04-24,153.0
2017-05-01,221.0
2017-10-02,201.0
2017-05-08,234.0
2017-05-15,303.0
2017-10-23,329.0
